id_transacao,cpf_aluno,data_transacao,mes_referencia,valor,curso,cep_cobranca,cidade,uf,bairro,venda_em_feriado,horas_assistidas,tickets_suporte,nps_score,percentual_conclusao,data_processamento_utc
TX-50038,***.947.638-**,2024-06-19,2024-06,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50039,***.683.565-**,2024-02-20,2024-02,99.9,,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50040,***.798.491-**,2024-11-23,2024-11,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50041,***.969.155-**,2024-11-30,2024-11,899.0,Anual,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50042,***.489.138-**,2024-07-21,2024-07,49.9,Básico,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50043,***.184.723-**,2024-06-24,2024-06,49.9,Básico,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50044,***.012.495-**,2024-07-04,2024-07,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,108.4,2.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50045,***.682.938-**,2024-03-23,2024-03,49.9,Básico,80010010,Curitiba,PR,Centro,False,62.5,3.0,,,2026-06-15T15:36:00.445263+00:00
TX-50046,***.292.407-**,2024-07-04,2024-07,49.9,Básico,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50047,***.247.073-**,2024-12-24,2024-12,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50048,***.912.896-**,2024-11-09,2024-11,99.9,Premium,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50049,***.163.009-**,2024-06-18,2024-06,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,3.0,,,2026-06-15T15:36:00.445263+00:00
TX-50050,***.016.668-**,2024-06-22,2024-06,49.9,Básico,69010000,Manaus,AM,Centro,False,49.5,4.0,8.0,,2026-06-15T15:36:00.445263+00:00
TX-50051,***.278.532-**,2024-03-22,2024-03,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50052,***.058.353-**,2024-11-24,2024-11,99.9,Premium,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50053,***.811.729-**,2024-04-28,2024-04,899.0,Anual,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50054,***.205.503-**,2024-03-05,2024-03,99.9,Premium,,,,,False,28.2,5.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50055,***.156.793-**,2024-08-17,2024-08,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,5.0,,,2026-06-15T15:36:00.445263+00:00
TX-50056,***.929.842-**,2024-03-29,2024-03,49.9,Básico,01001000,São Paulo,SP,Sé,True,,,,,2026-06-15T15:36:00.445263+00:00
TX-50057,***.020.095-**,2024-02-18,2024-02,899.0,Anual,90010150,Porto Alegre,RS,Centro Histórico,False,95.0,3.0,7.0,,2026-06-15T15:36:00.445263+00:00
TX-50058,***.487.368-**,2024-08-04,2024-08,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50059,***.546.157-**,2024-02-24,2024-02,49.9,Básico,80010010,Curitiba,PR,Centro,False,3.2,0.0,8.0,,2026-06-15T15:36:00.445263+00:00
TX-50060,***.071.152-**,2024-10-24,2024-10,49.9,Básico,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50061,***.975.923-**,2024-01-07,2024-01,49.9,Básico,69010000,Manaus,AM,Centro,False,24.2,5.0,,,2026-06-15T15:36:00.445263+00:00
TX-50062,***.372.151-**,2024-03-06,2024-03,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,45.8,1.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50063,***.321.153-**,2024-03-28,2024-03,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,72.3,5.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50064,***.882.426-**,2024-10-20,2024-10,99.9,Premium,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50065,***.855.829-**,2024-11-03,2024-11,49.9,Básico,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50066,***.310.287-**,2024-08-22,2024-08,99.9,Premium,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50067,***.903.267-**,2024-05-05,2024-05,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,0.8,2.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50068,***.937.597-**,2024-06-02,2024-06,899.0,Anual,80010010,Curitiba,PR,Centro,False,40.4,4.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50069,***.423.183-**,2024-10-16,2024-10,99.9,Premium,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50070,***.990.453-**,2024-12-28,2024-12,899.0,Anual,30140071,Belo Horizonte,MG,Boa Viagem,False,6.1,4.0,,,2026-06-15T15:36:00.445263+00:00
TX-50071,***.203.471-**,2024-11-22,2024-11,99.9,Premium,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50072,***.872.558-**,2024-01-14,2024-01,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,2.5,0.0,2.0,,2026-06-15T15:36:00.445263+00:00
TX-50073,***.942.012-**,2024-04-30,2024-04,49.9,Básico,01001000,São Paulo,SP,Sé,False,133.5,5.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50074,***.772.051-**,2024-08-09,2024-08,99.9,Premium,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50075,***.316.715-**,2024-09-18,2024-09,99.9,Premium,69010000,Manaus,AM,Centro,False,31.5,2.0,,,2026-06-15T15:36:00.445263+00:00
TX-50076,***.523.668-**,2024-07-09,2024-07,49.9,Básico,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50077,***.102.451-**,2024-07-10,2024-07,49.9,,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50078,***.051.834-**,2024-11-21,2024-11,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50079,***.505.830-**,2024-01-09,2024-01,899.0,Anual,30140071,Belo Horizonte,MG,Boa Viagem,False,88.3,0.0,7.0,,2026-06-15T15:36:00.445263+00:00
TX-50080,***.424.238-**,2024-03-06,2024-03,49.9,Básico,01001000,São Paulo,SP,Sé,False,138.2,0.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50081,***.484.601-**,2024-11-21,2024-11,99.9,Premium,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50082,***.325.431-**,2024-12-05,2024-12,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,29.2,4.0,,,2026-06-15T15:36:00.445263+00:00
TX-50083,***.562.608-**,2024-05-28,2024-05,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,81.2,4.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50084,***.668.516-**,2024-09-19,2024-09,99.9,Premium,70040010,Brasília,DF,Asa Norte,False,78.3,1.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50085,***.523.120-**,2024-11-12,2024-11,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50086,***.104.331-**,2024-09-23,2024-09,49.9,Básico,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50087,***.315.391-**,2024-10-18,2024-10,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50088,***.248.762-**,2024-08-25,2024-08,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50089,***.448.463-**,2024-01-05,2024-01,99.9,Premium,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50090,***.293.102-**,2024-11-04,2024-11,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50091,***.647.725-**,2024-03-23,2024-03,99.9,Premium,50010000,Recife,PE,Santo Antônio,False,13.8,4.0,,,2026-06-15T15:36:00.445263+00:00
TX-50092,***.696.663-**,2024-02-23,2024-02,99.9,Premium,01001000,São Paulo,SP,Sé,False,17.9,2.0,7.0,,2026-06-15T15:36:00.445263+00:00
TX-50093,***.973.561-**,2024-05-11,2024-05,99.9,Premium,20031050,Rio de Janeiro,RJ,Centro,False,87.0,5.0,7.0,,2026-06-15T15:36:00.445263+00:00
TX-50094,***.832.753-**,2024-03-26,2024-03,99.9,Premium,70040010,Brasília,DF,Asa Norte,False,98.6,0.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50095,***.899.405-**,2024-12-04,2024-12,99.9,,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50096,***.986.239-**,2024-08-25,2024-08,99.9,Premium,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50097,***.391.171-**,2024-01-04,2024-01,99.9,Premium,50010000,Recife,PE,Santo Antônio,False,39.1,1.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50098,***.665.344-**,2024-02-19,2024-02,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,13.4,0.0,2.0,,2026-06-15T15:36:00.445263+00:00
TX-50099,***.090.380-**,2024-05-19,2024-05,899.0,Anual,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50100,***.563.620-**,2024-02-22,2024-02,49.9,Básico,69010000,Manaus,AM,Centro,False,93.9,2.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50101,***.698.616-**,2024-08-14,2024-08,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50102,***.107.522-**,2024-04-22,2024-04,899.0,Anual,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50103,***.699.939-**,2024-10-15,2024-10,899.0,Anual,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50104,***.087.156-**,2024-07-05,2024-07,49.9,Básico,69010000,Manaus,AM,Centro,False,53.0,1.0,3.0,,2026-06-15T15:36:00.445263+00:00
TX-50105,***.583.132-**,2024-05-21,2024-05,99.9,Premium,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50106,***.113.529-**,2024-09-16,2024-09,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50107,***.018.915-**,2024-08-09,2024-08,49.9,Básico,,,,,False,80.1,0.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50108,***.401.965-**,2024-05-13,2024-05,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50109,***.732.043-**,2024-09-16,2024-09,49.9,Básico,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50110,***.238.856-**,2024-05-05,2024-05,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50111,***.409.749-**,2024-07-09,2024-07,899.0,Anual,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50112,***.827.109-**,2024-09-16,2024-09,899.0,Anual,30140071,Belo Horizonte,MG,Boa Viagem,False,28.5,0.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50113,***.668.473-**,2024-05-30,2024-05,49.9,Básico,69010000,Manaus,AM,Centro,True,,,,,2026-06-15T15:36:00.445263+00:00
TX-50114,***.401.640-**,2024-01-12,2024-01,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,111.2,0.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50115,***.070.534-**,2024-05-25,2024-05,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,43.1,2.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50116,***.366.280-**,2024-11-20,2024-11,49.9,Básico,01001000,São Paulo,SP,Sé,True,,,,,2026-06-15T15:36:00.445263+00:00
TX-50117,***.089.512-**,2024-01-16,2024-01,899.0,Anual,70040010,Brasília,DF,Asa Norte,False,14.6,2.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50118,***.452.577-**,2024-04-29,2024-04,99.9,Premium,80010010,Curitiba,PR,Centro,False,139.5,0.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50119,***.775.458-**,2024-03-28,2024-03,99.9,Premium,60060440,Fortaleza,CE,Praia de Iracema,False,40.4,4.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50120,***.767.348-**,2024-07-05,2024-07,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,62.9,3.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50121,***.080.869-**,2024-03-03,2024-03,899.0,Anual,90010150,Porto Alegre,RS,Centro Histórico,False,99.3,0.0,,,2026-06-15T15:36:00.445263+00:00
TX-50122,***.503.698-**,2024-01-31,2024-01,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,110.9,0.0,2.0,,2026-06-15T15:36:00.445263+00:00
TX-50123,***.064.454-**,2024-01-25,2024-01,49.9,Básico,69010000,Manaus,AM,Centro,False,2.1,0.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50124,***.630.112-**,2024-03-03,2024-03,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,55.4,4.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50125,***.903.067-**,2024-09-17,2024-09,49.9,,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50126,***.643.690-**,2024-09-27,2024-09,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50127,***.981.898-**,2024-10-22,2024-10,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,117.5,2.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50128,***.213.109-**,2024-01-31,2024-01,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50129,***.808.760-**,2024-12-26,2024-12,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50130,***.485.805-**,2024-03-24,2024-03,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,79.7,2.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50131,***.179.340-**,2024-05-09,2024-05,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50132,***.874.951-**,2024-01-21,2024-01,49.9,Básico,69010000,Manaus,AM,Centro,False,49.8,0.0,8.0,,2026-06-15T15:36:00.445263+00:00
TX-50133,***.307.482-**,2024-02-06,2024-02,49.9,Básico,80010010,Curitiba,PR,Centro,False,4.5,1.0,3.0,,2026-06-15T15:36:00.445263+00:00
TX-50134,***.698.152-**,2024-07-29,2024-07,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,32.7,4.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50135,***.095.385-**,2024-11-12,2024-11,49.9,Básico,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50136,***.851.385-**,2024-12-20,2024-12,99.9,Premium,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50137,***.033.620-**,2024-02-06,2024-02,899.0,Anual,69010000,Manaus,AM,Centro,False,41.0,1.0,,,2026-06-15T15:36:00.445263+00:00
TX-50138,***.546.951-**,2024-03-24,2024-03,49.9,Básico,80010010,Curitiba,PR,Centro,False,7.8,4.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50139,***.963.259-**,2024-07-06,2024-07,49.9,Básico,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50140,***.933.324-**,2024-05-28,2024-05,49.9,Básico,04538133,São Paulo,SP,Itaim Bibi,False,110.5,1.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50141,***.167.433-**,2024-09-23,2024-09,49.9,Básico,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50142,***.062.113-**,2024-01-03,2024-01,99.9,Premium,50010000,Recife,PE,Santo Antônio,False,40.0,2.0,8.0,,2026-06-15T15:36:00.445263+00:00
TX-50143,***.873.280-**,2024-10-01,2024-10,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,79.3,1.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50144,***.932.064-**,2024-02-29,2024-02,99.9,Premium,60060440,Fortaleza,CE,Praia de Iracema,False,49.4,1.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50145,***.972.652-**,2024-06-10,2024-06,899.0,Anual,69010000,Manaus,AM,Centro,False,0.6000000000000001,4.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50146,***.854.249-**,2024-06-23,2024-06,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,95.8,5.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50147,***.147.732-**,2024-04-24,2024-04,99.9,Premium,20031050,Rio de Janeiro,RJ,Centro,False,,0.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50148,***.862.639-**,2024-12-10,2024-12,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50149,***.108.902-**,2024-08-13,2024-08,49.9,Básico,90010150,Porto Alegre,RS,Centro Histórico,False,,2.0,,,2026-06-15T15:36:00.445263+00:00
TX-50150,***.849.079-**,2024-04-06,2024-04,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50151,***.579.889-**,2024-05-24,2024-05,899.0,Anual,50010000,Recife,PE,Santo Antônio,False,121.4,4.0,,,2026-06-15T15:36:00.445263+00:00
TX-50152,***.088.398-**,2024-11-18,2024-11,49.9,Básico,,,,,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50153,***.503.058-**,2024-11-28,2024-11,99.9,Premium,,,,,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50154,***.217.048-**,2024-08-04,2024-08,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,44.9,1.0,,,2026-06-15T15:36:00.445263+00:00
TX-50155,***.469.208-**,2024-01-09,2024-01,49.9,Básico,01001000,São Paulo,SP,Sé,False,20.1,4.0,8.0,,2026-06-15T15:36:00.445263+00:00
TX-50156,***.721.753-**,2024-12-29,2024-12,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50157,***.205.397-**,2024-01-14,2024-01,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,103.6,4.0,6.0,,2026-06-15T15:36:00.445263+00:00
TX-50158,***.215.406-**,2024-03-16,2024-03,99.9,Premium,80010010,Curitiba,PR,Centro,False,114.9,1.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50159,***.089.324-**,2024-04-10,2024-04,99.9,Premium,04538133,São Paulo,SP,Itaim Bibi,False,129.1,5.0,3.0,,2026-06-15T15:36:00.445263+00:00
TX-50160,***.045.735-**,2024-01-07,2024-01,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,1.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50161,***.281.237-**,2024-04-22,2024-04,99.9,Premium,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50162,***.961.367-**,2024-11-15,2024-11,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,True,115.7,4.0,7.0,,2026-06-15T15:36:00.445263+00:00
TX-50163,***.257.872-**,2024-05-02,2024-05,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
